Card,Set,Quantity,Average (€),Market (€),Condition,Language,Foil,Signed,ProductType
Vampiric Tutor,Visions,1,41.41,39.66,EXC,en,No,No,print
Unsummon,Beta Edition,1,12.97,13.74,NM,en,No,No,print
Underground Sea,Revised Edition,1,568.11,507.5,NM,en,No,No,print
Tundra,Revised Edition,1,333.65,345,NM,en,No,No,print
Triskelion,Antiquities,1,131.71,124.9,NM,en,No,No,print
Terror,Beta Edition,1,29.98,36,NM,en,No,No,print
Swords to Plowshares,Unlimited Edition,2,48.89,57.45,NM,en,No,No,print
Swamp (C),Beta Edition,1,23.83,39.99,NM,en,No,No,print
Strip Mine (Uneven Horizon),Antiquities,1,38.79,33.19,NM,en,No,No,print
Strip Mine (Tower),Antiquities,1,24.67,21.37,NM,en,No,No,print
Sol Ring,Unlimited Edition,1,56.68,52.9,EXC,en,No,No,print
Sol Ring,Beta Edition,1,582.02,456.78,FIN,en,No,No,print
Sinkhole,Unlimited Edition,2,18.49,15.99,NM,en,No,No,print
Serendib Efreet,Revised Edition (Foreign Black Border),1,71.31,100.54,NM,it,No,No,print
Serendib Efreet,Revised Edition (Foreign Black Border),1,71.31,100.54,NM,en,No,No,print
Serendib Efreet,Revised Edition,4,4.82,5.14,NM,en,No,No,print
Sengir Vampire,Fourth Edition (Foreign Black Border),1,0.39,0.29,EXC,es,No,No,print
Sengir Vampire,Unlimited Edition,1,15.08,18.62,NM,en,No,No,print
Sengir Vampire,Beta Edition,1,100,100,FIN,en,No,No,print
Scrubland,Revised Edition,1,239.99,202.5,EXC,en,No,No,print
Scrubland,Revised Edition,1,239.99,202.5,EXC,it,No,No,print
Royal Assassin,Revised Edition,2,6.33,3.5,NM,en,No,No,print
Reanimate,Tempest,1,14.31,14.24,NM,en,No,No,print
Psionic Blast,Beta Edition,2,149.3,150,NM,en,No,No,print
Psionic Blast,Beta Edition,1,149.3,150,EXC,en,No,Yes,print
Prodigal Sorcerer,Beta Edition,1,12.76,14.49,NM,en,No,No,print
Power Sink,Beta Edition,1,12.94,11.86,NM,en,No,No,print
Polluted Delta,Onslaught,1,48.67,43.5,EXC,en,No,No,print
Pestilence,Beta Edition,1,14.81,18,NM,en,No,No,print
Palinchron,Urza's Legacy,1,22.23,16,EXC,en,No,No,print
Oubliette,Arabian Nights,3,22.56,22.71,NM,en,No,No,print
Nevinyrral's Disk,Fourth Edition (Foreign Black Border),1,3.04,1.45,NM,en,No,No,print
Necropotence,Ice Age,1,20.92,32.93,EXC,en,No,No,print
Mox Jet (IE),International Edition,1,566.62,499.9,NM,en,No,No,print
"Mishra's Factory (Italian) - ""Fabbrica di Mishra""",Renaissance,4,12.49,24.99,NM,en,No,No,print
Mind Twist,Revised Edition (Foreign Black Border),1,34.5,45,NM,it,No,No,print
Memory Jar,Urza's Legacy,1,20.35,205,EXC,en,Yes,No,print
Maze of Ith,The Dark,1,24.08,27.65,EXC,en,No,No,print
Mana Vault,Revised Edition,1,50.54,53.35,EXC,en,No,No,print
Mana Leak,Stronghold,1,1.81,1.28,M,fr,No,No,print
Mana Drain,Legends,2,139.3,89.99,EXC,en,No,No,print
Mahamoti Djinn,Unlimited Edition,1,44.99,44.98,EXC,en,No,No,print
Mahamoti Djinn,Fourth Edition,1,0.66,0.4,NM,en,No,No,print
Lim-Dul's Vault,Alliances,1,3.43,3.22,EXC,en,No,No,print
Laquatus's Champion,Torment,1,8.58,29,NM,en,Yes,No,print
