Name,Current_Cheapest,Trend,Avg30,URL_All_Sellers,URL_German_Only
Entomb,15.0,22.7,23.02,https://www.cardmarket.com/en/Magic/Products/Singles/Odyssey/Entomb,https://www.cardmarket.com/en/Magic/Products/Singles/Odyssey/Entomb?sellerCountry=7&language=1&minCondition=3
Memory Jar,15.93,20.1,20.36,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Legacy/Memory-Jar,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Legacy/Memory-Jar?sellerCountry=7&language=1&minCondition=3
Burgeoning,15.97,23.61,24.12,https://www.cardmarket.com/en/Magic/Products/Singles/Stronghold/Burgeoning,https://www.cardmarket.com/en/Magic/Products/Singles/Stronghold/Burgeoning?sellerCountry=7&language=1&minCondition=3
Necropotence,15.99,18.07,18.59,https://www.cardmarket.com/en/Magic/Products/Singles/Ice-Age/Necropotence,https://www.cardmarket.com/en/Magic/Products/Singles/Ice-Age/Necropotence?sellerCountry=7&language=1&minCondition=3
Karplusan Forest,15.99,21.06,24.12,https://www.cardmarket.com/en/Magic/Products/Singles/Ice-Age/Karplusan-Forest,https://www.cardmarket.com/en/Magic/Products/Singles/Ice-Age/Karplusan-Forest?sellerCountry=7&language=1&minCondition=3
Enlightened Tutor,18.0,22.65,21.52,https://www.cardmarket.com/en/Magic/Products/Singles/Mirage/Enlightened-Tutor,https://www.cardmarket.com/en/Magic/Products/Singles/Mirage/Enlightened-Tutor?sellerCountry=7&language=1&minCondition=3
Sphere of Resistance,19.0,23.16,22.84,https://www.cardmarket.com/en/Magic/Products/Singles/Exodus/Sphere-Of-Resistance,https://www.cardmarket.com/en/Magic/Products/Singles/Exodus/Sphere-Of-Resistance?sellerCountry=7&language=1&minCondition=3
Scroll Rack,20.0,25.06,23.31,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Scroll-Rack,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Scroll-Rack?sellerCountry=7&language=1&minCondition=3
Maze of Ith,20.96,24.71,22.91,https://www.cardmarket.com/en/Magic/Products/Singles/The-Dark/Maze-Of-Ith,https://www.cardmarket.com/en/Magic/Products/Singles/The-Dark/Maze-Of-Ith?sellerCountry=7&language=1&minCondition=3
Wasteland,21.0,26.95,30.06,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Wasteland,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Wasteland?sellerCountry=7&language=1&minCondition=3
Cursed Scroll,22.0,26.53,27.12,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Cursed-Scroll,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Cursed-Scroll?sellerCountry=7&language=1&minCondition=3
Exploration,24.9,31.86,29.69,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Saga/Exploration,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Saga/Exploration?sellerCountry=7&language=1&minCondition=3
Arcades Sabboth,24.98,26.4,29.48,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Arcades-Sabboth,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Arcades-Sabboth?sellerCountry=7&language=1&minCondition=3
Aluren,26.0,27.82,30.91,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Aluren,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Aluren?sellerCountry=7&language=1&minCondition=3
Rhystic Study,28.0,33.0,33.06,https://www.cardmarket.com/en/Magic/Products/Singles/Prophecy/Rhystic-Study,https://www.cardmarket.com/en/Magic/Products/Singles/Prophecy/Rhystic-Study?sellerCountry=7&language=1&minCondition=3
Vaevictis Asmadi,29.0,30.75,32.33,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Vaevictis-Asmadi,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Vaevictis-Asmadi?sellerCountry=7&language=1&minCondition=3
Humility,29.99,34.3,36.07,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Humility,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Humility?sellerCountry=7&language=1&minCondition=3
Karakas,34.21,40.47,41.0,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Karakas,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Karakas?sellerCountry=7&language=1&minCondition=3
Vampiric Tutor,35.39,38.79,39.09,https://www.cardmarket.com/en/Magic/Products/Singles/Visions/Vampiric-Tutor,https://www.cardmarket.com/en/Magic/Products/Singles/Visions/Vampiric-Tutor?sellerCountry=7&language=1&minCondition=3
Recurring Nightmare,35.99,51.99,48.64,https://www.cardmarket.com/en/Magic/Products/Singles/Exodus/Recurring-Nightmare,https://www.cardmarket.com/en/Magic/Products/Singles/Exodus/Recurring-Nightmare?sellerCountry=7&language=1&minCondition=3
Rishadan Port,39.55,49.34,45.05,https://www.cardmarket.com/en/Magic/Products/Singles/Mercadian-Masques/Rishadan-Port,https://www.cardmarket.com/en/Magic/Products/Singles/Mercadian-Masques/Rishadan-Port?sellerCountry=7&language=1&minCondition=3
Force of Will,44.0,55.08,56.46,https://www.cardmarket.com/en/Magic/Products/Singles/Alliances/Force-Of-Will,https://www.cardmarket.com/en/Magic/Products/Singles/Alliances/Force-Of-Will?sellerCountry=7&language=1&minCondition=3
Chrome Mox,48.0,55.15,49.71,https://www.cardmarket.com/en/Magic/Products/Singles/Mirrodin/Chrome-Mox,https://www.cardmarket.com/en/Magic/Products/Singles/Mirrodin/Chrome-Mox?sellerCountry=7&language=1&minCondition=3
Time Spiral,49.0,68.76,65.99,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Saga/Time-Spiral,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Saga/Time-Spiral?sellerCountry=7&language=1&minCondition=3
Null Rod,50.0,63.25,67.54,https://www.cardmarket.com/en/Magic/Products/Singles/Weatherlight/Null-Rod,https://www.cardmarket.com/en/Magic/Products/Singles/Weatherlight/Null-Rod?sellerCountry=7&language=1&minCondition=3
Lake of the Dead,52.0,56.26,60.81,https://www.cardmarket.com/en/Magic/Products/Singles/Alliances/Lake-Of-The-Dead,https://www.cardmarket.com/en/Magic/Products/Singles/Alliances/Lake-Of-The-Dead?sellerCountry=7&language=1&minCondition=3
