Name,Current_Cheapest,Trend,Avg30,URL
Karakas,34.21,40.47,41.0,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Karakas?sellerCountry=7&language=1&minCondition=3
Vampiric Tutor,35.39,38.79,39.09,https://www.cardmarket.com/en/Magic/Products/Singles/Visions/Vampiric-Tutor?sellerCountry=7&language=1&minCondition=3
Recurring Nightmare,35.99,51.99,48.64,https://www.cardmarket.com/en/Magic/Products/Singles/Exodus/Recurring-Nightmare?sellerCountry=7&language=1&minCondition=3
Rishadan Port,39.55,49.34,45.05,https://www.cardmarket.com/en/Magic/Products/Singles/Mercadian-Masques/Rishadan-Port?sellerCountry=7&language=1&minCondition=3
Force of Will,44.0,55.08,56.46,https://www.cardmarket.com/en/Magic/Products/Singles/Alliances/Force-Of-Will?sellerCountry=7&language=1&minCondition=3
Chrome Mox,48.0,55.15,49.71,https://www.cardmarket.com/en/Magic/Products/Singles/Mirrodin/Chrome-Mox?sellerCountry=7&language=1&minCondition=3
Time Spiral,49.0,68.76,65.99,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Saga/Time-Spiral?sellerCountry=7&language=1&minCondition=3
Null Rod,50.0,63.25,67.54,https://www.cardmarket.com/en/Magic/Products/Singles/Weatherlight/Null-Rod?sellerCountry=7&language=1&minCondition=3
Lake of the Dead,52.0,56.26,60.81,https://www.cardmarket.com/en/Magic/Products/Singles/Alliances/Lake-Of-The-Dead?sellerCountry=7&language=1&minCondition=3
Land Tax,52.0,57.27,56.97,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Land-Tax?sellerCountry=7&language=1&minCondition=3
Swords to Plowshares,57.8,69.99,61.34,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Swords-To-Plowshares?sellerCountry=7&language=1&minCondition=3
Shallow Grave,64.95,78.54,74.94,https://www.cardmarket.com/en/Magic/Products/Singles/Mirage/Shallow-Grave?sellerCountry=7&language=1&minCondition=3
Ancient Tomb,68.0,75.74,84.0,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Ancient-Tomb?sellerCountry=7&language=1&minCondition=3
Tolarian Academy,72.0,84.91,97.09,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Saga/Tolarian-Academy?sellerCountry=7&language=1&minCondition=3
Underworld Dreams,81.98,91.26,86.61,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Underworld-Dreams?sellerCountry=7&language=1&minCondition=3
Winter Orb,90.0,111.64,84.89,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Winter-Orb?sellerCountry=7&language=1&minCondition=3
Sliver Queen,128.88,158.33,164.68,https://www.cardmarket.com/en/Magic/Products/Singles/Stronghold/Sliver-Queen?sellerCountry=7&language=1&minCondition=3
Mana Drain,138.84,152.86,136.0,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Mana-Drain?sellerCountry=7&language=1&minCondition=3
Survival of the Fittest,170.0,189.55,188.38,https://www.cardmarket.com/en/Magic/Products/Singles/Exodus/Survival-Of-The-Fittest?sellerCountry=7&language=1&minCondition=3
