Name,Avg7,Avg30,Trend,Current_Cheapest,URL
Karakas,40.19,41.0,40.47,34.21,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Karakas?minCondition=3
Vampiric Tutor,38.73,39.09,38.79,35.39,https://www.cardmarket.com/en/Magic/Products/Singles/Visions/Vampiric-Tutor?minCondition=3
Recurring Nightmare,52.07,48.64,51.99,35.99,https://www.cardmarket.com/en/Magic/Products/Singles/Exodus/Recurring-Nightmare?minCondition=3
Rishadan Port,47.29,45.05,49.34,39.55,https://www.cardmarket.com/en/Magic/Products/Singles/Mercadian-Masques/Rishadan-Port?minCondition=3
Force of Will,53.94,56.46,55.08,44.0,https://www.cardmarket.com/en/Magic/Products/Singles/Alliances/Force-Of-Will?minCondition=3
Chrome Mox,55.29,49.71,55.15,48.0,https://www.cardmarket.com/en/Magic/Products/Singles/Mirrodin/Chrome-Mox?minCondition=3
Time Spiral,67.83,65.99,68.76,49.0,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Saga/Time-Spiral?minCondition=3
Null Rod,65.83,67.54,63.25,50.0,https://www.cardmarket.com/en/Magic/Products/Singles/Weatherlight/Null-Rod?minCondition=3
Lake of the Dead,58.72,60.81,56.26,52.0,https://www.cardmarket.com/en/Magic/Products/Singles/Alliances/Lake-Of-The-Dead?minCondition=3
Land Tax,56.88,56.97,57.27,52.0,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Land-Tax?minCondition=3
Swords to Plowshares,62.46,61.34,69.99,57.8,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Swords-To-Plowshares?minCondition=3
Shallow Grave,78.82,74.94,78.54,64.95,https://www.cardmarket.com/en/Magic/Products/Singles/Mirage/Shallow-Grave?minCondition=3
Ancient Tomb,85.91,84.0,75.74,68.0,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Ancient-Tomb?minCondition=3
Tolarian Academy,87.98,97.09,84.91,72.0,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Saga/Tolarian-Academy?minCondition=3
Underworld Dreams,83.77,86.61,91.26,81.98,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Underworld-Dreams?minCondition=3
Winter Orb,90.84,84.89,111.64,90.0,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Winter-Orb?minCondition=3
Sliver Queen,162.73,164.68,158.33,128.88,https://www.cardmarket.com/en/Magic/Products/Singles/Stronghold/Sliver-Queen?minCondition=3
Mana Drain,139.41,136.0,152.86,138.84,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Mana-Drain?minCondition=3
Survival of the Fittest,183.44,188.38,189.55,170.0,https://www.cardmarket.com/en/Magic/Products/Singles/Exodus/Survival-Of-The-Fittest?minCondition=3
Mana Vault,259.13,197.58,262.57,185.0,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Mana-Vault?minCondition=3
