Rank,Card_Name,Expansion,Card_ID,Historical_AVG7,Historical_AVG30,Historical_TREND,Historical_Discount_Pct,Current_Cheapest,Current_Average,EX_Plus_Price,EX_Plus_Condition,EX_Plus_Seller,EX_Plus_Quantity,EX_Plus_vs_AVG7_Pct,EX_Plus_vs_TREND_Pct,Total_Listings,Cardmarket_URL
2,Mana Vault,Unlimited,5149,259.13,197.58,262.57,24.751494839471373,185.0,257.589,185.0,EX,xxniinjaxx1,1,-28.607262763863694,-29.542598164299044,10,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Mana-Vault?language=1&minCondition=3
3,Winter Orb,Unlimited,5179,90.84,84.89,111.64,23.96094589752777,90.0,121.03,90.0,EX,DoubleDown,1,-0.924702774108326,-19.38373342887854,10,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Winter-Orb?language=1&minCondition=3
6,Dark Ritual,Unlimited,4641,12.98,10.87,13.36,18.637724550898206,12.0,13.768,12.0,EX,Carddude1520,1,-7.550077041602468,-10.17964071856287,10,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Dark-Ritual?language=1&minCondition=3
8,Mana Drain,Legends,7036,147.05,138.41,166.46,16.850895109936324,138.84,152.715,138.84,EX,Bronhy,1,-5.583134988099291,-16.592574792743005,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Mana-Drain?language=1&minCondition=3
10,Swords to Plowshares,Unlimited,5077,62.46,61.34,69.99,12.358908415487916,57.89,82.22900000000001,57.89,EX,Luckylev,1,-7.316682676913225,-17.288184026289464,10,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Swords-To-Plowshares?language=1&minCondition=3
11,Chrome Mox,Mirrodin,152,58.91,50.0,55.99,10.698338989105201,51.38,58.214999999999996,51.38,EX,bonktradingcards,2,-12.782210151077905,-8.2336131452045,10,https://www.cardmarket.com/en/Magic/Products/Singles/Mirrodin/Chrome-Mox?language=1&minCondition=3
12,Corpse Dance,Tempest,8745,18.32,16.98,18.98,10.537407797681771,14.5,17.319,14.5,EX,Vitosellmagic,1,-20.851528384279476,-23.603793466807165,10,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Corpse-Dance?language=1&minCondition=3
15,Chalice of the Void,Mirrodin,150,16.32,14.62,16.09,9.136109384711006,13.0,14.427000000000001,13.0,EX,Favorit60,1,-20.343137254901965,-19.204474829086386,10,https://www.cardmarket.com/en/Magic/Products/Singles/Mirrodin/Chalice-Of-The-Void?language=1&minCondition=3
17,Dust Bowl,Mercadian Masques,11689,18.58,17.31,18.94,8.606124604012685,17.72,18.581,17.72,NM,r1z1a,1,-4.6286329386437,-6.441393875396,10,https://www.cardmarket.com/en/Magic/Products/Singles/Mercadian-Masques/Dust-Bowl?language=1&minCondition=3
18,Arcades Sabboth,Legends,7229,40.71,32.68,35.71,8.485018202184264,24.98,29.121999999999996,24.98,EX,fabiolone1,1,-38.6391549987718,-30.04760571268552,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Arcades-Sabboth?language=1&minCondition=3
20,Earthcraft,Tempest,8851,90.99,85.53,91.98,7.012393998695371,83.0,91.532,83.0,EX,Nyar752,1,-8.781184745576432,-9.76299195477278,10,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Earthcraft?language=1&minCondition=3
24,Maze of Ith,The Dark,7395,21.79,22.6,24.08,6.146179401993343,21.0,25.859999999999996,21.0,EX,TheGoose,1,-3.625516291877004,-12.790697674418599,10,https://www.cardmarket.com/en/Magic/Products/Singles/The-Dark/Maze-Of-Ith?language=1&minCondition=3
26,Underworld Dreams,Legends,7008,83.77,86.61,91.26,5.095332018408947,81.98,91.924,81.98,EX,Bronhy,1,-2.1368031514862027,-10.168748630287093,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Underworld-Dreams?language=1&minCondition=3
28,Shallow Grave,Mirage,8090,78.6,74.8,77.87,3.942468216257875,70.88,78.699,70.88,EX,cataclysm-uk,1,-9.821882951653944,-8.97649929369463,10,https://www.cardmarket.com/en/Magic/Products/Singles/Mirage/Shallow-Grave?language=1&minCondition=3
29,Scroll Rack,Tempest,9033,24.02,23.36,24.29,3.828736105393165,23.0,24.438,23.0,NM,Thorclack,1,-4.246461282264778,-5.310827501029227,10,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Scroll-Rack?language=1&minCondition=3
30,Recurring Nightmare,Exodus,9300,50.06,48.68,50.58,3.7564254646105155,46.0,51.117,46.0,EX,EpiphanyG,1,-8.110267678785462,-9.05496243574535,10,https://www.cardmarket.com/en/Magic/Products/Singles/Exodus/Recurring-Nightmare?language=1&minCondition=3
32,Sylvan Library,Legends,7092,125.97,123.51,128.25,3.695906432748534,119.88,128.63000000000002,119.88,EX,Bronhy,1,-4.834484401047871,-6.5263157894736885,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Sylvan-Library?language=1&minCondition=3
33,Rishadan Port,Mercadian Masques,11697,44.68,44.73,46.44,3.6821705426356606,41.99,48.135,41.99,EX,NAJ-cards,1,-6.020590868397488,-9.582256675279922,10,https://www.cardmarket.com/en/Magic/Products/Singles/Mercadian-Masques/Rishadan-Port?language=1&minCondition=3
39,Goblin Welder,Urza's Legacy,10637,17.14,17.22,17.73,2.8764805414551695,15.77,17.381,15.77,EX,KimDahl,1,-7.992998833138862,-11.054709531866896,10,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Legacy/Goblin-Welder?language=1&minCondition=3
42,Sphere of Resistance,Exodus,9367,24.48,22.77,23.12,1.513840830449833,21.0,22.536,21.0,EX,Mermure,1,-14.215686274509807,-9.169550173010386,10,https://www.cardmarket.com/en/Magic/Products/Singles/Exodus/Sphere-Of-Resistance?language=1&minCondition=3
43,Enlightened Tutor,Mirage,8269,21.92,21.55,21.86,1.4181152790484846,20.0,21.088,20.0,EX,HappyMagicB0b,1,-8.759124087591248,-8.50869167429094,10,https://www.cardmarket.com/en/Magic/Products/Singles/Mirage/Enlightened-Tutor?language=1&minCondition=3
46,Ensnaring Bridge,Stronghold,9212,13.76,12.84,13.0,1.2307692307692317,11.0,12.296,11.0,EX,EmirM,4,-20.058139534883722,-15.384615384615385,10,https://www.cardmarket.com/en/Magic/Products/Singles/Stronghold/Ensnaring-Bridge?language=1&minCondition=3
49,Survival of the Fittest,Exodus,9357,182.56,189.23,190.24,0.5309083263246527,177.2,202.16500000000002,177.2,EX,satansghost,1,-2.936021034180551,-6.8544995794785635,10,https://www.cardmarket.com/en/Magic/Products/Singles/Exodus/Survival-Of-The-Fittest?language=1&minCondition=3
50,Land Tax,Legends,7169,56.88,56.97,57.27,0.523834468308022,50.0,54.30499999999999,50.0,EX,BlackLilith-13,1,-12.095639943741213,-12.69425528199756,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Land-Tax?language=1&minCondition=3
52,Horn of Greed,Stronghold,9214,10.24,10.24,10.26,0.19493177387913815,8.0,9.482,8.0,EX,Schwestern,1,-21.875000000000004,-22.027290448343077,10,https://www.cardmarket.com/en/Magic/Products/Singles/Stronghold/Horn-Of-Greed?language=1&minCondition=3
53,Karakas,Legends,7219,39.85,40.52,40.56,0.09861932938855805,34.26,36.972,34.26,EX,TheMagicCardTraderUK,1,-14.02760351317441,-15.532544378698235,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Karakas?language=1&minCondition=3
56,Worldly Tutor,Mirage,8204,13.17,13.38,13.36,-0.14970059880240533,9.0,12.611999999999998,9.0,EX,JulienJ,1,-31.662870159453306,-32.63473053892215,10,https://www.cardmarket.com/en/Magic/Products/Singles/Mirage/Worldly-Tutor?language=1&minCondition=3
59,Reanimate,Tempest,8780,13.98,13.68,13.61,-0.5143277002204283,10.63,12.991,10.63,EX,SwigginPanda,3,-23.962804005722457,-21.89566495224099,10,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Reanimate?language=1&minCondition=3
60,Trinisphere,Darksteel,370,16.84,17.54,17.43,-0.6310958118187001,15.0,16.737,15.0,NM,alvaro1990,1,-10.926365795724465,-13.941480206540447,10,https://www.cardmarket.com/en/Magic/Products/Singles/Darksteel/Trinisphere?language=1&minCondition=3
63,Entomb,Odyssey,2544,22.25,23.12,22.88,-1.0489510489510576,21.0,23.964,21.0,EX,Kaskade,1,-5.617977528089887,-8.216783216783213,10,https://www.cardmarket.com/en/Magic/Products/Singles/Odyssey/Entomb?language=1&minCondition=3
64,Necropotence,Ice Age,6254,18.05,18.64,18.43,-1.1394465545306611,10.64,18.729999999999997,10.64,NM,Corky,1,-41.05263157894737,-42.268041237113394,10,https://www.cardmarket.com/en/Magic/Products/Singles/Ice-Age/Necropotence?language=1&minCondition=3
