Rank,Card_Name,Expansion,Card_ID,Historical_AVG7,Historical_AVG30,Historical_TREND,Historical_Discount_Pct,Current_Cheapest,Current_Average,EX_Plus_Price,EX_Plus_Condition,EX_Plus_Seller,EX_Plus_Quantity,EX_Plus_vs_AVG7_Pct,EX_Plus_vs_TREND_Pct,Total_Listings,Cardmarket_URL
4,Living Artifact,Alpha,5350,305.71,157.84,361.04,56.28185242632395,339.99,603.218888888889,339.99,EX,RubyTrade,1,11.21324130712114,-5.830378905384448,9,https://www.cardmarket.com/en/Magic/Products/Singles/Alpha/Living-Artifact?language=1&minCondition=3
5,Reverse Damage,Alpha,5452,391.14,199.78,425.86,53.08786925280609,350.0,673.9959999999999,350.0,EX,Magic-Dreams,1,-10.517973104259342,-17.81336589489504,5,https://www.cardmarket.com/en/Magic/Products/Singles/Alpha/Reverse-Damage?language=1&minCondition=3
8,Drain Power,Beta,4740,209.78,122.72,238.56,48.55801475519785,70.95,99.44300000000001,70.95,EX,webuyanycard,3,-66.17885403756316,-70.25905432595574,10,https://www.cardmarket.com/en/Magic/Products/Singles/Beta/Drain-Power?language=1&minCondition=3
10,Power Surge,Beta,4962,167.75,110.43,212.4,48.00847457627119,76.0,111.03600000000002,76.0,EX,ABU-Best-Offer,1,-54.69448584202683,-64.21845574387947,10,https://www.cardmarket.com/en/Magic/Products/Singles/Beta/Power-Surge?language=1&minCondition=3
12,Simulacrum,Alpha,5270,82.95,70.53,128.03,44.91134890260095,54.99,159.791,54.99,EX,Dragonegg,1,-33.707052441229656,-57.049129110364746,10,https://www.cardmarket.com/en/Magic/Products/Singles/Alpha/Simulacrum?language=1&minCondition=3
13,Pirate Ship,Beta,4768,202.5,134.82,243.16,44.55502549761474,118.99,148.394,118.99,EX,RetroMagic,1,-41.239506172839505,-51.06514229314032,10,https://www.cardmarket.com/en/Magic/Products/Singles/Beta/Pirate-Ship?language=1&minCondition=3
14,Sleight of Mind,Beta,4784,230.17,126.99,220.06,42.29301099700082,118.24,160.30900000000003,118.24,EX,webuyanycard,3,-48.62927401485858,-46.269199309279294,10,https://www.cardmarket.com/en/Magic/Products/Singles/Beta/Sleight-Of-Mind?language=1&minCondition=3
15,Chaoslace,Alpha,5373,256.18,182.68,291.53,37.33749528350426,245.0,426.29299999999995,245.0,EX,ThreeForOne-AT,1,-4.3641189788430035,-15.960621548382663,10,https://www.cardmarket.com/en/Magic/Products/Singles/Alpha/Chaoslace?language=1&minCondition=3
16,Howling Mine,Unlimited,5125,143.45,89.44,139.97,36.100592984210905,80.0,226.10700000000003,80.0,EX,Niconet91,1,-44.23143952596723,-42.844895334714586,10,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Howling-Mine?language=1&minCondition=3
17,Reverse Damage,Beta,5066,110.18,77.15,108.39,28.821847033859203,85.0,101.747,85.0,EX,milirem,1,-22.85351243419859,-21.579481501983576,10,https://www.cardmarket.com/en/Magic/Products/Singles/Beta/Reverse-Damage?language=1&minCondition=3
