Rank,Card_Name,Expansion,Card_ID,Historical_AVG7,Historical_AVG30,Historical_TREND,Historical_Discount_Pct,Current_Cheapest,Current_Average,EX_Plus_Price,EX_Plus_Condition,EX_Plus_Seller,EX_Plus_Quantity,EX_Plus_vs_AVG7_Pct,EX_Plus_vs_TREND_Pct,Total_Listings,Cardmarket_URL
1,Mana Vault,Unlimited,5149,259.13,197.58,262.57,24.751494839471373,185.0,257.18899999999996,185.0,EX,xxniinjaxx1,1,-28.607262763863694,-29.542598164299044,10,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Mana-Vault?language=1&minCondition=3
2,Winter Orb,Unlimited,5179,90.84,84.89,111.64,23.96094589752777,90.0,121.03800000000001,90.0,EX,DoubleDown,1,-0.924702774108326,-19.38373342887854,10,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Winter-Orb?language=1&minCondition=3
3,Strip Mine,Antiquities,6943,64.32,49.51,63.47,21.994643138490627,50.0,58.225,50.0,EX,Buzzle1-,2,-22.263681592039795,-21.22262486213959,10,https://www.cardmarket.com/en/Magic/Products/Singles/Antiquities/Strip-Mine?language=1&minCondition=3
4,Swords to Plowshares,Unlimited,5077,64.82,62.8,78.46,19.9592148865664,57.94,82.239,57.94,EX,Luckylev,1,-10.61400802221536,-26.153453989293908,10,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Swords-To-Plowshares?language=1&minCondition=3
7,Strip Mine,Antiquities,6942,85.6,53.05,64.22,17.393335409529744,50.0,58.225,50.0,EX,Buzzle1-,2,-41.588785046728965,-22.14263469324198,10,https://www.cardmarket.com/en/Magic/Products/Singles/Antiquities/Strip-Mine?language=1&minCondition=3
8,Mana Drain,Legends,7036,149.37,139.2,166.97,16.63173025094329,138.84,160.644,138.84,EX,Bronhy,1,-7.049608355091384,-16.847337845121878,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Mana-Drain?language=1&minCondition=3
9,Dark Ritual,Unlimited,4641,12.26,10.9,12.73,14.375490966221523,12.0,13.768,12.0,EX,Carddude1520,1,-2.1207177814029348,-5.734485467399846,10,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Dark-Ritual?language=1&minCondition=3
14,Arcades Sabboth,Legends,7229,40.71,32.68,35.71,8.485018202184264,24.98,29.121999999999996,24.98,EX,fabiolone1,1,-38.6391549987718,-30.04760571268552,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Arcades-Sabboth?language=1&minCondition=3
16,Earthcraft,Tempest,8851,88.56,85.51,92.91,7.964697018620161,83.0,90.533,83.0,EX,Nyar752,1,-6.278229448961159,-10.666236142503495,10,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Earthcraft?language=1&minCondition=3
18,Dust Bowl,Mercadian Masques,11689,18.84,17.52,18.82,6.907545164718389,17.74,18.813,17.74,NM,r1z1a,1,-5.838641188959668,-5.738575982996822,10,https://www.cardmarket.com/en/Magic/Products/Singles/Mercadian-Masques/Dust-Bowl?language=1&minCondition=3
19,Aladdin's Lamp,Arabian Nights,6849,35.17,34.01,36.48,6.770833333333331,33.98,38.266,33.98,EX,Nerdys,1,-3.3835655388115002,-6.853070175438597,10,https://www.cardmarket.com/en/Magic/Products/Singles/Arabian-Nights/Aladdin-s-Lamp?language=1&minCondition=3
20,Corpse Dance,Tempest,8745,17.98,17.14,18.23,5.979155238617662,14.5,17.076999999999998,14.5,EX,Vitosellmagic,1,-19.35483870967742,-20.46077893582008,10,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Corpse-Dance?language=1&minCondition=3
21,Strip Mine,Antiquities,6945,70.7,60.55,64.25,5.758754863813234,50.0,58.225,50.0,EX,Buzzle1-,2,-29.27864214992928,-22.17898832684825,10,https://www.cardmarket.com/en/Magic/Products/Singles/Antiquities/Strip-Mine?language=1&minCondition=3
22,Rishadan Port,Mercadian Masques,11697,44.39,45.03,47.41,5.020037966673688,41.99,48.141999999999996,41.99,EX,NAJ-cards,1,-5.406623113313806,-11.432187302256898,10,https://www.cardmarket.com/en/Magic/Products/Singles/Mercadian-Masques/Rishadan-Port?language=1&minCondition=3
