Rank,Card_Name,Expansion,Card_ID,Historical_AVG7,Historical_AVG30,Historical_TREND,Historical_Discount_Pct,Current_Cheapest,Current_Average,EX_Plus_Price,EX_Plus_Condition,EX_Plus_Seller,EX_Plus_Quantity,EX_Plus_vs_AVG7_Pct,EX_Plus_vs_TREND_Pct,Total_Listings,Cardmarket_URL
1,Imprison,Legends,6993,76.68,119.16,206.11,42.18621124642182,65.0,82.28299999999999,65.0,EX,kasj78,1,-15.232133541992704,-68.46344185143856,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Imprison?language=1&minCondition=3
2,Field of Dreams,Legends,7026,109.48,102.06,122.91,16.963631925799362,94.99,104.354,94.99,EX,teresis,1,-13.235294117647067,-22.715808315027257,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Field-Of-Dreams?language=1&minCondition=3
3,Kobold Overlord,Legends,7127,68.99,55.43,66.54,16.696723775172835,50.0,57.562,50.0,EX,Wbl2pdn2015,1,-27.525728366429913,-24.857228734595736,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Kobold-Overlord?language=1&minCondition=3
4,Jihad,Arabian Nights,6839,430.7,285.2,341.64,16.520313780587752,290.0,328.184,290.0,EX,Rattanatur,1,-32.66775017413513,-15.11532607423018,10,https://www.cardmarket.com/en/Magic/Products/Singles/Arabian-Nights/Jihad?language=1&minCondition=3
5,Invoke Prejudice,Legends,7033,299.88,295.72,349.89,15.482008631284106,298.0,381.23,298.0,EX,Bronhy,1,-0.6269174336401212,-14.830375260796247,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Invoke-Prejudice?language=1&minCondition=3
6,Cleanse,Legends,7148,78.81,88.76,103.44,14.191802010827526,70.0,88.011,70.0,EX,Samarkand,1,-11.17878441822104,-32.327919566898686,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Cleanse?language=1&minCondition=3
7,Livonya Silone,Legends,7254,39.15,31.04,36.01,13.801721743960007,27.88,29.934000000000005,27.88,EX,jasongoff,1,-28.786717752234992,-22.577061927242433,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Livonya-Silone?language=1&minCondition=3
8,Hellfire,Legends,6991,101.19,89.4,102.77,13.009633161428425,80.0,89.836,80.0,EX,sebest,1,-20.940804427314948,-22.156271285394567,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Hellfire?language=1&minCondition=3
9,Lotus Vale,Weatherlight,8733,24.24,21.41,24.12,11.235489220563851,18.0,20.481,18.0,EX,dcdducati,1,-25.742574257425737,-25.37313432835821,10,https://www.cardmarket.com/en/Magic/Products/Singles/Weatherlight/Lotus-Vale?language=1&minCondition=3
10,Divine Intervention,Legends,7151,114.12,103.22,116.0,11.017241379310345,94.89,116.069,94.89,EX,TheMagicCardTraderUK,1,-16.850683491062043,-18.198275862068964,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Divine-Intervention?language=1&minCondition=3
11,City of Solitude,Visions,8453,11.81,10.15,11.3,10.176991150442479,6.5,8.054,6.5,EX,JulienJ,2,-44.961896697713804,-42.47787610619469,10,https://www.cardmarket.com/en/Magic/Products/Singles/Visions/City-Of-Solitude?language=1&minCondition=3
12,"Rofellos, Llanowar Emissary",Urza's Destiny,10818,25.18,25.0,27.75,9.90990990990991,24.95,27.679000000000002,24.95,EX,angryara,1,-0.9134233518665624,-10.090090090090092,10,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Destiny/Rofellos-Llanowar-Emissary?language=1&minCondition=3
13,Land Equilibrium,Legends,7035,97.4,94.14,103.86,9.358752166377815,85.0,92.768,85.0,EX,BlackLilith-13,1,-12.731006160164277,-18.15906027344502,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Land-Equilibrium?language=1&minCondition=3
14,Su-Chi,Antiquities,6903,97.29,105.53,115.45,8.592464270246863,99.0,101.69500000000001,99.0,EX,Erya2000,1,1.7576318223866725,-14.24859246427025,10,https://www.cardmarket.com/en/Magic/Products/Singles/Antiquities/Su-Chi?language=1&minCondition=3
15,Rohgahh of Kher Keep,Legends,7267,48.19,43.47,47.5,8.484210526315792,33.99,38.407,33.99,EX,Dragonegg,1,-29.46669433492425,-28.44210526315789,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Rohgahh-Of-Kher-Keep?language=1&minCondition=3
17,Academy Rector,Urza's Destiny,10701,42.43,40.14,43.28,7.255083179297599,38.0,42.528,38.0,EX,Skalex-31,3,-10.440725901484797,-12.199630314232904,10,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Destiny/Academy-Rector?language=1&minCondition=3
18,Stone Calendar,The Dark,7389,8.94,10.72,11.53,7.025151777970501,9.39,10.132,9.39,EX,WildGames,1,5.033557046979878,-18.560277536860355,10,https://www.cardmarket.com/en/Magic/Products/Singles/The-Dark/Stone-Calendar?language=1&minCondition=3
19,Corpse Dance,Tempest,8745,17.0,17.2,18.42,6.623235613463639,14.5,17.125,14.5,EX,Vitosellmagic,1,-14.705882352941178,-21.28121606948969,10,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Corpse-Dance?language=1&minCondition=3
20,Halfdane,Legends,7240,33.56,30.11,32.24,6.606699751861049,28.47,30.630999999999993,28.47,EX,TheMagicCardTraderUK,1,-15.166865315852215,-11.693548387096783,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Halfdane?language=1&minCondition=3
22,Earthcraft,Tempest,8851,89.01,86.14,92.14,6.5118298241805945,83.0,91.203,83.0,EX,Nyar752,1,-6.752050331423441,-9.919687432168441,10,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Earthcraft?language=1&minCondition=3
25,Infinite Authority,Legends,7165,16.04,13.92,14.68,5.177111716621252,11.87,14.052000000000001,11.87,EX,TheMagicCardTraderUK,1,-25.997506234413965,-19.14168937329701,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Infinite-Authority?language=1&minCondition=3
26,Falling Star,Legends,7117,114.09,105.13,110.52,4.876945349258054,100.0,118.68499999999999,100.0,EX,Fiska,1,-12.349899202384085,-9.518639160332969,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Falling-Star?language=1&minCondition=3
27,Phyrexian Devourer,Alliances,8019,19.89,20.41,21.42,4.715219421101781,16.35,19.639999999999997,16.35,EX,jchald,1,-17.797888386123674,-23.669467787114844,10,https://www.cardmarket.com/en/Magic/Products/Singles/Alliances/Phyrexian-Devourer?language=1&minCondition=3
29,"Karn, Silver Golem",Urza's Saga,10505,10.6,10.19,10.66,4.409005628517829,10.0,11.22,10.0,EX,Hammerbabz,1,-5.660377358490563,-6.191369606003754,10,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Saga/Karn-Silver-Golem?language=1&minCondition=3
30,Serra's Sanctum,Urza's Saga,10532,192.71,190.07,198.69,4.338416628919425,179.95,222.68200000000002,179.95,NM,MiriMial,1,-6.621348139691774,-9.431778146861951,10,https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Saga/Serra-s-Sanctum?language=1&minCondition=3
31,Forsaken Wastes,Mirage,8074,13.85,13.15,13.74,4.294032023289664,12.0,13.666,12.0,EX,MishrasFactory,1,-13.357400722021659,-12.663755458515286,10,https://www.cardmarket.com/en/Magic/Products/Singles/Mirage/Forsaken-Wastes?language=1&minCondition=3
32,Jovial Evil,Legends,6995,28.36,27.64,28.7,3.6933797909407624,22.48,27.268,22.48,EX,Meddy36,4,-20.733427362482367,-21.672473867595816,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Jovial-Evil?language=1&minCondition=3
